Unnamed: 0,System,Author(s),Publication date,Year,Reference,Citations,Peer reviewed?,Link,Parameters,Hardware,Training Compute,Epoch,Epoch (pretrain),Epoch (finetune),uncertain,Pretrain Dataset Size,Inferred_compute (6ND),Finetune Dataset Size,Dataset Size,Dataset(s),Perplexity (WT103),Perplexity (WT2),Perplexity (PTB),Zero-shot?,Include?,Uses Cache,Outlier?,Architecture,Base Model,GitHub,Organizations,Organization Categorization,Comments,Complete row,Tokenizer,Vocabulary,algorithmic,optimizer_quality,architecture_quality,attention_mechanism,training_efficiency,activation_functions,normalization_techniques,learning_paradigm,regularization_techniques,special_algorithms,overall_algorithm_quality
23,Subformer (122M),"Machel Reid, Edison Marrese-Taylor, Yutaka Matsuo",2021/01/01,2021,Subformer: Exploring Weight Sharing for Parameter Efficiency in Generative Transformers,12.0,,https://arxiv.org/abs/2101.00234,1.22E+08,,,70.29,,,0.0,103000000.0,5.30E+18,0.0,103000000.0,WikiText-103,19.9,,,0.0,1.0,0,0,Transformer,Subformer,https://github.com/machelreid/subformer,,,,1,,260000,"Architecture: Transformer architecture with two novel techniques: SAFE (Self-Attentive Factorized Embeddings) and Sandwich-style Parameter Sharing. Uses encoder and decoder.; Optimizer: Adam with hyper-parameters β = (0.9, 0.999) and € = 10-6; LR Schedule: Warm up the learning rate to a peak of 5 × 10-4 within 10K iterations and then decay the learning rate with the inverse square root schedule.; Training: mixed precision training; Attention: multi-headed attention in Transformer layers; Regularization: dropout, weight decay of 0.01, label-smoothed cross entropy loss with є = 0.1, Layer normalization with parameters Band γ to be 0 and 1, respectively; Special Algorithms: SAFE (Self-Attentive Factorized Embeddings):  uses a small self-attention layer to reduce embedding parameter count, Sandwich-style Parameter Sharing: shares the middle or central layers, leaving input and output layers to have independent sets of parameters; Initialization: Weight initialization scheme as BERT, sampling weights from N (0, 0.02), initializing biases to zero; Other: Early stopping based on lowest loss on development set, Beam search with beam size of 5 for generation, Tuning length penalty alpha in validation set",,,,,,,,,,
24,Subformer (96M),"Machel Reid, Edison Marrese-Taylor, Yutaka Matsuo",2021/01/01,2021,Subformer: Exploring Weight Sharing for Parameter Efficiency in Generative Transformers,12.0,,https://arxiv.org/abs/2101.00234,9.60E+07,,,70.29,,,0.0,103000000.0,4.17E+18,0.0,103000000.0,WikiText-103,20.39,,,0.0,1.0,0,0,Transformer,Subformer,https://github.com/machelreid/subformer,,,,1,,267000,"Architecture: Transformer-based model with Sandwich-style Parameter Sharing and Self-Attentive Factorized Embeddings (SAFE); Optimizer: Adam (β = (0.9, 0.999), ϵ = 10^-6 for machine translation; Nesterov's accelerated gradient optimizer for language modeling); LR Schedule: Inverse square root decay schedule with warmup (10K iterations for machine translation; Cosine annealing with warmup (16k iterations) for language modeling); Training: Label smoothing (ϵ = 0.1), Mixed precision training, Early stopping; Attention: Multi-head attention (details not provided); Regularization: Dropout (0.1, 0.2, or 0.3), Weight decay (0.01); Special Algorithms: Self-Attentive Factorized Embeddings (SAFE), Sandwich-style Parameter Sharing; Initialization: BERT weight initialization scheme (sampling weights from N(0, 0.02), initializing biases to zero and setting layer normalization parameters Band γ to be 0 and 1)",,,,,,,,,,
25,EGRU (PTB),"Anand Subramoney, Khaleelulla Khan Nazeer, Mark Schöne, Christian Mayr, David Kappel",2022/06/13,2022,Efficient recurrent architectures through activity sparsity and sparse back-propagation through time,1.0,1.0,https://arxiv.org/pdf/2206.06178v3.pdf,5.50E+07,,,2500,,,0.0,929000.0,7.66E+17,,929000.0,,,,57.0,0.0,0.0,0,1,Recurrent,,https://github.com/Efficient-Scalable-Machine-Learning/EvNN,,,,1,,,"Architecture: Event-based Gated Recurrent Unit (EGRU), which extends the GRU with units that emit discrete events for communication triggered by a threshold. Three stacked EGRU cells without skip connections. The number of layers was also explored during experimentation.; Optimizer: Adam optimizer with default parameters (0.001 learning rate, β₁ = 0.9, β₂ = 0.999) is used for most experiments. Adam and NT-AvSGD optimization procedures were compared. Some models were trained using SGD. Adam was selected as an optimizer for performance reasons.; LR Schedule: Learning rate is scaled by 80% every 100 epochs. Cosine-annealing learning rate schedule was also used, where the first n/2 epochs were trained at constant learning rate and a cosine decay from A to 0.1 * A was applied for the remaining n/2 epochs.; Training: Surrogate gradients for backpropagating through the non-differential threshold function, Backpropagation through time (BPTT), Gradient clipping, Variable sequence length BPTT; Attention: Not applicable; Regularization: DropConnect applied to the hidden-to-hidden weights, Zoneout, Additional Loss to regularize the output and increase sparsity of the network - applied indirectly to the active outputs and on the auxiliary internal state ct); Special Algorithms: Dynamic activity sparsity mechanism - biological neuron dynamics that makes the communication between RNN units sparse and discrete, Event-based gradient descent using adjoint method, Model compression heuristic based on activity pruning - removing the least active units of the layer; Initialization: Xavier uniform distribution for weights, uniform distribution for biases. Unit thresholds were initialized using a normal distribution with mean 0 and standard deviation of √2, but was transformed to their absolute value after every update. Unit thresholds were initialized using a normal distribution with mean 0 and standard deviation of √2, but was transformed to be between 0 and 1 by passing through a standard sigmoid/logistic function after every update.; Other: Trainable Thresholds, Reparameterize thresholds with a sigmoid function to limit their domain to the interval [0, 1]",,,,,,,,,,
26,"GCRN-M1, dropout","Youngjoo Seo, Michaël Defferrard, Pierre Vandergheynst, Xavier Bresson",2016/12/22,2016,Structured Sequence Modeling with Graph Convolutional Recurrent Networks,674.0,,https://arxiv.org/pdf/1612.07659,4.20E+07,,,13,,,0.0,929000.0,3.04E+15,,929000.0,,,,98.67,0.0,1.0,0,0,Recurrent,GCRN,,,,,1,,10000,"Architecture: GCRN (Graph Convolutional Recurrent Network) combines CNN on graphs and RNN. RNN can be LSTM or GRU. Model 1 stacks a graph CNN for feature extraction and an LSTM for sequence learning (CNN -> LSTM). Model 2 replaces the Euclidean 2D convolution in convLSTM with a graph convolution.; Optimizer: RMSProp; LR Schedule: global learning rate of 1.0. Learning decay function is 0.5max(0,#epoch-4).; Training: back-propagation through time (BPTT), early stopping; Attention: Not applicable; Regularization: gradient clipping, dropout value is 0.75 for language modelling; Special Algorithms: graph CNN which uses Chebyshev polynomials to approximate convolution on graphs; Initialization: biases bi, bf and bo initialized to one such that the gates are initially open; Other: graph construction using k-nearest-neighbor (knn) graph with Euclidean distance and Gaussian kernel between pixel locations",,,,,,,,,,
27,DEQ-Transformer (Post-LN) + Jacobian Regularisation,"Shaojie Bai, Vladlen Koltun, J. Zico Kolter",2021/06/28,2021,Stabilizing Equilibrium Models by Jacobian Regularization,45.0,,https://arxiv.org/abs/2106.14342,9.80E+07,,2.9e+19,23,,,0.0,103000000.0,1.39E+18,0.0,103000000.0,WikiText-103,24.9,,,0.0,1.0,0,0,Transformer,DEQ,,,,,1,,267000,"Architecture: DEQ-Transformer (uses a multi-head self-attention layer as the underlying function); Optimizer: Adam; LR Schedule: cosine learning rate schedule; Training: Implicit Function Theorem, Layer Normalization, Weight Normalization, Group Normalization, Stochastic Application of Jacobian Regularization; Attention: multi-head self-attention; Regularization: Jacobian regularization (Frobenius norm), Weight Decay (however, the paper demonstrates that this method doesn't fix the DEQ stability problem, and sometimes may be counter-productive.); Special Algorithms: Deep Equilibrium Models (DEQs), Broyden's method, Anderson Mixing, Hutchinson Estimator to approximate Jacobian's Frobenius norm; Initialization: Parameters are initialized at the start of training by sampling from N(0,0.01); Other: Uses a fixed number of iterations (NFE limit) to solve for equilibrium",,,,,,,,,,
28,Sparse Wide GPT-3 Small,"Shreyas Saxena, Vithursan Thangarasa, Abhay Gupta, Sean Lie",2023/03/21,2023,Sparse Iso-FLOP Transformations for Maximizing Training Efficiency,0.0,0.0,https://arxiv.org/pdf/2303.11525.pdf,1.30E+09,,,110,,,0.0,103000000.0,8.84E+19,,103000000.0,,20.4,,,0.0,1.0,0,0,Transformer,GPT,https://github.com/CerebrasResearch/Sparse-IFT,,,,1,?,?,"Architecture: Transformer, drop-in replacements for dense layers in DNNs; Optimizer: AdamW; LR Schedule: Learning rate warmup over the first 375M tokens, followed by a cosine decay to 10% of the peak learning rate.; Training: Dynamic Sparse Training (DST) using SET, Gradient clipping at 1.0, Mixed precision training; Attention: Multi-head attention; Regularization: Weight decay 0.1; Special Algorithms: Sparse Iso-FLOP Transformations (Sparse-IFTs)",,,,,,,,,,
29,Relational Memory Core,"Adam Santoro, Ryan Faulkner, David Raposo, Jack Rae, Mike Chrzanowski, Theophane Weber, Daan Wierstra, Oriol Vinyals, Razvan Pascanu, Timothy Lillicrap",2018/06/05,2018,Relational recurrent neural networks,235.0,,https://arxiv.org/abs/1806.01822,UNK,,,,,,0.0,103000000.0,#VALUE!,0.0,103000000.0,WikiText-103,31.6,,,0.0,1.0,0,0,Recurrent,LSTM,,Carnegie Mellon University; Google Brain,Industry - Academia Collaboration,,0,,250000,"Architecture: Recurrent Memory Core (RMC) module integrated into an LSTM. RMC uses multi-head dot product attention to allow memories to interact.  The LSTM update is modified, and a gating mechanism is introduced.; Optimizer: Adam; LR Schedule: Tuned between le-5 and 1e-3 for Nth Farthest, le-3 for Program Evaluation, 0.001 and gradients clipped to have a maximum L2 norm of 0.1 for Language Modeling.; Training: backpropagation-through-time truncated, Gating (unit or memory), Layer normalization (in the function); Attention: Multi-head dot product attention with h heads, where h is tuned; Regularization: Dropout (0.5 for Language Modeling), L2 gradient clipping (0.1 for Language Modeling); Special Algorithms: Multi-Head Dot Product Attention (MHDPA) to allow memories to interact; Initialization: Random initialization of memory M; Other: Self-Attention, Tied word embedding matrix parameters to the output softmax for Language Modeling, Scaled dot-product attention",,,,,,,,,,
30,SPALM + RelationLM,"Qi Liu, Dani Yogatama, Phil Blunsom",2022/01/24,2022,Relational Memory-Augmented Language Models,21.0,,https://arxiv.org/pdf/2201.09680,1.24E+08,,,,,,0.0,103000000.0,0.00E+00,,103000000.0,WikiText-103,18.6,,,0.0,0.0,0,0,Transformer,Transformer-XL,,Tianjin University; Microsoft Research; Beijing Institute of Technology,Industry - Academia Collaboration,,1,,267735,"Architecture: Transformer-XL augmented with relational memory. The relational memory stores relation triples. The Transformer-XL component uses multiple self-attention layers.; Optimizer: Adam; LR Schedule: Cosine annealing with 4,000 warmup steps; Training: Gradient backpropagation is stopped for hidden states of extended context in transformer-XL, Dropout; Attention: Scaled dot-product attention is used to attend over the encoded contents of the relational memory; Regularization: Dropout with rate 0.25; Special Algorithms: Dynamic OpenIE is used to extract relations from previous seen text segments of the evaluation set., Gating mechanism to combine the transformer-XL representation and the relational memory; Other: OpenIE is used to obtain relation triples., tf-idf is used to score entities in the observed context for relation retrieval., LSTM is used to encode relation triples",,,,,,,,,,
31,Shortformer,"Ofir Press, Noah A. Smith, Mike Lewis",2020/12/31,2020,Shortformer: Better Language Modeling using Shorter Inputs,43.0,,https://arxiv.org/abs/2012.15832,2.40E+07,,,205,,,0.0,103000000.0,3.04E+18,0.0,103000000.0,WikiText-103,18.15,,,0.0,1.0,0,0,Transformer,Shortformer,https://github.com/ofirpress/shortformer,,,,1,BERT,29000,"Architecture: Transformer with 16 layers, dimension 1,024, 8 heads in each self-attention sublayer, and feedforward sublayers with an inner dimension of 4,096; Optimizer: Not explicitly mentioned but assumed standard transformer optimizers were explored.; LR Schedule: Not explicitly mentioned but standard transformer LR schedules assumed.; Training: Causal Masking; Attention: Multi-head self-attention with 8 heads per layer; Special Algorithms: Staged Training, Position-Infused Attention (PIA); Initialization: Sinusoidal position embeddings, tying word embedding and softmax matrices; Other: Caching of previous outputs for PIA",,,,,,,,,,
32,Word-Independent-SRNN+KN5,"Youssef Oualil, Clayton Greenberg, Mittul Singh, Dietrich Klakow",2017/03/23,2017,Sequential Recurrent Neural Networks for Language Modeling,7.0,,https://arxiv.org/pdf/1703.08068,5.32E+06,,,,,,0.0,929000.0,0.00E+00,,929000.0,,,,94.0,0.0,1.0,0,0,Recurrent,RNN,,,,,1,,10000,"Architecture: Sequential Recurrent Neural Network (SRNN): Combines feedforward neural network (FNN) explicit word history with recurrent context information. Hidden layers combine encoding of local context and a recurrent architecture at the projection layer.  Word representations are enhanced using context information. WI-SRNN uses a word-independent recurrence vector; WD-SRNN uses word-dependent vectors.; Optimizer: stochastic gradient descent with momentum; LR Schedule: Learning rate is initialized to 0.4 and halved when no significant improvement is observed in the log-likelihood of the validation data, followed by seven more epochs where the learning rate is halved after each epoch.; Training: Back-Propagation Through Time (BPTT), mini-batch training; Regularization: weight decay; Initialization: normalized initialization; Other: The backward path (red arrows) shows the error propagation during training (this figure does not include BPTT).",,,,,,,,,,
33,Characterizing Verbatim Short-Term Memory in Neural Language Models (108M),"Kristijan Armeni, Christopher Honey, Tal Linzen",2022/10/24,2022,Characterizing Verbatim Short-Term Memory in Neural Language Models,3.0,1.0,https://arxiv.org/pdf/2210.13569.pdf,1.08E+08,,,,,,0.0,103000000.0,0.00E+00,,103000000.0,,40.3,,,0.0,0.0,0,0,,,https://github.com/KristijanArmeni/verbatim-memory-in-NLMs,NT Communication Science Laboratories; Tohoku University,Industry - Academia Collaboration,,1,,,"Architecture: AWD-LSTM with 3 hidden layers, 400-dimensional input embeddings, and 1840-dimensional hidden states was used. The transformer architecture was a 12-layer GPT-2 architecture, and smaller 1-, 3-, and 6-layer transformers were also trained. Embedding dimension was 768 across the transformer architectures.; Optimizer: Not explicitly stated for LSTM. Likely standard optimization algorithm used in AWD-LSTM (see Merity et al., 2018). Not explicitly stated for transformer models.; LR Schedule: Not explicitly stated, but the model was trained until convergence and training was stopped (early stopping) when the loss did not decrease for at least 0.01 bits in 5 consecutive evaluations.; Training: Adaptive Weight Dropping (AWD); Attention: The 12-layer GPT-2 architecture with 12 attention layers and 768-dimensional embedding layer was used as the base transformer model. Smaller transformer models (1,3,6 layers) were trained with 3,3,6 attention heads respectively.; Regularization: Weight dropping (LSTM), Dropout (LSTM); Initialization: Random initialization (for the randomly initialized transformer model)",,,,,,,,,,
34,Selfish-RNN (AWD-LSTM-MoS),"Shiwei Liu, Decebal Constantin Mocanu, Yulong Pei, Mykola Pechenizkiy",2021/01/22,2021,Selfish Sparse RNN Training,31.0,,https://arxiv.org/pdf/2101.09048,1.56E+07,,,1000,,,0.0,2080000.0,1.95E+17,,2080000.0,,,63.05,,0.0,1.0,0,0,Recurrent,LSTM,https://github.com/Shiweiliuiiiiiii/Selfish-RNN,,,,1,?,?,"Architecture: RNNs with various models, including stacked LSTMs, RHNs, ON-LSTM, and AWD-LSTM-MoS. The only difference is the number of cell gates.; Optimizer: SNT-ASGD (Sparse Non-monotonically Triggered Averaged Stochastic Gradient Descent). A sparse variant of the non-monotonically triggered averaged stochastic gradient descent optimizer (NT-ASGD); LR Schedule: Decay the pruning rate p to zero with a cosine annealing. The constant learning rate of SNT-ASGD helps to prevent the negative effect of learning rate decay on dynamic sparse training.; Training: Dynamic sparse connectivity; Attention: N/A; Regularization: Cell gate redistribution, Variational Dropout, embedding dropout, hidden layer dropout, output dropout; Special Algorithms: Selfish-RNN, Magnitude Weight Removal, Random Weight Growth; Initialization: Randomly initialized with a uniform sparse distribution in which the sparsity level of each layer is the same S; Other: Use dynamic sparse connectivity and SNT-ASGD together to handle this combinatorial optimization problem.",,,,,,,,,,
35,Selfish-RNN (ON-LSTM),"Shiwei Liu, Decebal Constantin Mocanu, Yulong Pei, Mykola Pechenizkiy",2021/01/22,2021,Selfish Sparse RNN Training,31.0,,https://arxiv.org/pdf/2101.09048,1.13E+07,,,1000,,,0.0,929000.0,6.30E+16,,929000.0,,,,55.82,0.0,1.0,0,0,Recurrent,LSTM,https://github.com/Shiweiliuiiiiiii/Selfish-RNN,,,,1,?,?,"Architecture: Sparse LSTM, RHN, ON-LSTM, AWD-LSTM-MoS. Allows RNN layers to have non-uniform redistribution across cell gates.; Optimizer: SNT-ASGD (Sparse Non-Monotonically Triggered Averaged Stochastic Gradient Descent) and Adam; LR Schedule: Constant learning rate when using SNT-ASGD, learning rate decay for other methods. Cosine annealing for pruning rate.; Training: Sparse Training, Dynamic sparse connectivity (Magnitude weight removal, random weight growth, and cell gate redistribution), Weight initialization of new weights as zero, Enforce sparse structure before forward and after backward pass; Attention: Not applicable; Regularization: Non-uniform redistribution across cell gates, Variational Dropout, embedding dropout, hidden layer dropout, output dropout; Special Algorithms: SNT-ASGD (sparse variant of the non-monotonically triggered averaged stochastic gradient descent optimizer), Cell Gate Redistribution; Initialization: Uniform Sparse Initialization (randomly initialized with a uniform sparse distribution); Other: Magnitude Weight Removal, Random Weight Growth",,,,,,,,,,
36,Selfish-RNN (SNT-ASGD) Stacked LSTMs,"Shiwei Liu, Decebal Constantin Mocanu, Yulong Pei, Mykola Pechenizkiy",2021/01/22,2021,Selfish Sparse RNN Training,31.0,,https://arxiv.org/pdf/2101.09048,2.52E+07,,,100,,,0.0,929000.0,1.40E+16,,929000.0,,,,71.42,0.0,1.0,0,0,Recurrent,LSTM,https://github.com/Shiweiliuiiiiiii/Selfish-RNN,,,,1,?,?,"Architecture: Stacked LSTMs, RHNs, ON-LSTM, AWD-LSTM-MoS. The layers have a non-uniform redistribution across cell gates during training.; Optimizer: SNT-ASGD (Sparse Non-monotonically Triggered Averaged Stochastic Gradient Descent). Also uses Adam and Momentum SGD for comparison.; LR Schedule: Constant learning rate. Learning rate decay via cosine annealing for the pruning rate.; Training: Dynamic sparse connectivity, Weight tying (for some models); Attention: Not applicable; Regularization: Variational Dropout, Weight Tying, DropConnect; Special Algorithms: SNT-ASGD: Sparse variant of NT-ASGD to address the issue of non-active weights remaining zero for sparse training., Dynamic Sparse Connectivity: Uniform sparse initialization, magnitude weight removal, random weight growth, and cell gate redistribution.; Initialization: Uniform sparse initialization: Randomly initialized with a uniform sparse distribution where the sparsity level of each layer is the same.; Other: Magnitude Weight Removal: Fraction p of weights with the smallest magnitude are removed after each training epoch, Random Weight Growth: After weight removal, the same number of weights are randomly grown to keep parameter count fixed., Cell Gate Redistribution: redistribute weights to cell gates dependently, so gates with larger-magnitude weights receive more parameters., Decay the pruning rate to zero with cosine annealing to enforce the sparse structure., Enforce the sparse structure before the forward pass and after the backward pass by setting all zero weights to zero and initializing all newly activated weights to zero.",,,,,,,,,,
